121,13,,,Crystal Palace,Stoke City,Roy Hodgson,Mark Hughes
122,13,,,Huddersfield Town,Manchester City,David Wagner,Pep Guardiola
123,13,,,Liverpool,Chelsea,Jurgen Klopp,Antonio Conte
124,13,,,Manchester United,Brighton and Hove Albion,Jose Mourinho,Chris Hughton
125,13,,,New Castle United,Watford,Rafael Benitez,Marco Silva
126,13,,,Southampton,Everton,Mauricio Pellegrino,Ronald Koeman
127,13,,,Swansea City,Bournemouth,Paul Clement,Eddie Howe
128,13,,,Tottenham Hotspur,West Bromwich Albion,Mauricio Pochettino,Tony Pulis
129,13,,,West Ham United,Leicester City,Slaven Bilic,Craig Shakespeare
130,13,,,Burnley,Arsenal,Sean Dyche,Arsene Wenger
131,14,,,Brighton and Hove Albion,Crystal Palace,Chris Hughton,Roy Hodgson
132,14,,,Leicester City,Tottenham Hotspur,Craig Shakespeare,Mauricio Pochettino
133,14,,,Watford,Manchester United,Marco Silva,Jose Mourinho
134,14,,,West Bromwich Albion,New Castle United,Tony Pulis,Rafael Benitez
135,14,,,Arsenal,Huddersfield Town,Arsene Wenger,David Wagner
136,14,,,Bournemouth,Burnley,Eddie Howe,Sean Dyche
137,14,,,Chelsea,Swansea City,Antonio Conte,Paul Clement
138,14,,,Everton,West Ham United,Ronald Koeman,Slaven Bilic
139,14,,,Manchester City,Southampton,Pep Guardiola,Mauricio Pellegrino
140,14,,,Stoke City,Liverpool,Mark Hughes,Jurgen Klopp
141,15,,,Arsenal,Manchester United,Arsene Wenger,Jose Mourinho
142,15,,,Bournemouth,Southampton,Eddie Howe,Mauricio Pellegrino
143,15,,,Brighton and Hove Albion,Liverpool,Chris Hughton,Jurgen Klopp
144,15,,,Chelsea,New Castle United,Antonio Conte,Rafael Benitez
145,15,,,Everton,Huddersfield Town,Ronald Koeman,David Wagner
146,15,,,Leicester City,Burnley,Craig Shakespeare,Sean Dyche
147,15,,,Manchester City,West Ham United,Pep Guardiola,Slaven Bilic
148,15,,,Stoke City,Swansea City,Mark Hughes,Paul Clement
149,15,,,Watford,Tottenham Hotspur,Marco Silva,Mauricio Pochettino
150,15,,,West Bromwich Albion,Crystal Palace,Tony Pulis,Roy Hodgson
151,16,,,Burnley,Watford,Sean Dyche,Marco Silva
152,16,,,Crystal Palace,Bournemouth,Roy Hodgson,Eddie Howe
153,16,,,Huddersfield Town,Brighton and Hove Albion,David Wagner,Chris Hughton
154,16,,,Liverpool,Everton,Jurgen Klopp,Ronald Koeman
155,16,,,Manchester United,Manchester City,Jose Mourinho,Pep Guardiola
156,16,,,New Castle United,Leicester City,Rafael Benitez,Craig Shakespeare
157,16,,,Swansea City,West Bromwich Albion,Paul Clement,Tony Pulis
158,16,,,Tottenham Hotspur,Stoke City,Mauricio Pochettino,Mark Hughes
159,16,,,West Ham United,Chelsea,Slaven Bilic,Antonio Conte
160,16,,,Southampton,Arsenal,Mauricio Pellegrino,Arsene Wenger
161,17,,,Burnley,Stoke City,Sean Dyche,Mark Hughes
162,17,,,Crystal Palace,Watford,Roy Hodgson,Marco Silva
163,17,,,Huddersfield Town,Chelsea,David Wagner,Antonio Conte
164,17,,,Manchester United,Bournemouth,Jose Mourinho,Eddie Howe
165,17,,,Swansea City,Manchester City,Paul Clement,Pep Guardiola
166,17,,,Liverpool,West Bromwich Albion,Jurgen Klopp,Tony Pulis
167,17,,,New Castle United,Everton,Rafael Benitez,Ronald Koeman
168,17,,,Southampton,Leicester City,Mauricio Pellegrino,Craig Shakespeare
169,17,,,Tottenham Hotspur,Brighton and Hove Albion,Mauricio Pochettino,Chris Hughton
170,17,,,West Ham United,Arsenal,Slaven Bilic,Arsene Wenger
171,18,,,Arsenal,New Castle United,Arsene Wenger,Rafael Benitez
172,18,,,Bournemouth,Liverpool,Eddie Howe,Jurgen Klopp
173,18,,,Brighton and Hove Albion,Burnley,Chris Hughton,Sean Dyche
174,18,,,Chelsea,Southampton,Antonio Conte,Mauricio Pellegrino
175,18,,,Everton,Swansea City,Ronald Koeman,Paul Clement
176,18,,,Leicester City,Crystal Palace,Craig Shakespeare,Roy Hodgson
177,18,,,Manchester City,Tottenham Hotspur,Pep Guardiola,Mauricio Pochettino
178,18,,,Stoke City,West Ham United,Mark Hughes,Slaven Bilic
179,18,,,Watford,Huddersfield Town,Marco Silva,David Wagner
180,18,,,West Bromwich Albion,Manchester United,Tony Pulis,Jose Mourinho
181,19,,,Arsenal,Liverpool,Arsene Wenger,Jurgen Klopp
182,19,,,Brighton and Hove Albion,Watford,Chris Hughton,Marco Silva
183,19,,,Burnley,Tottenham Hotspur,Sean Dyche,Mauricio Pochettino
184,19,,,Everton,Chelsea,Ronald Koeman,Antonio Conte
185,19,,,Leicester City,Manchester United,Craig Shakespeare,Jose Mourinho
186,19,,,Manchester City,Bournemouth,Pep Guardiola,Eddie Howe
187,19,,,Southampton,Huddersfield Town,Mauricio Pellegrino,David Wagner
188,19,,,Stoke City,West Bromwich Albion,Mark Hughes,Tony Pulis
189,19,,,Swansea City,Crystal Palace,Paul Clement,Roy Hodgson
190,19,,,West Ham United,New Castle United,Slaven Bilic,Rafael Benitez
191,20,,,Bournemouth,West Ham United,Eddie Howe,Slaven Bilic
192,20,,,Chelsea,Brighton and Hove Albion,Antonio Conte,Chris Hughton
193,20,,,Crystal Palace,Arsenal,Roy Hodgson,Arsene Wenger
194,20,,,Huddersfield Town,Stoke City,David Wagner,Mark Hughes
195,20,,,Liverpool,Swansea City,Jurgen Klopp,Paul Clement
196,20,,,Manchester United,Burnley,Jose Mourinho,Sean Dyche
197,20,,,New Castle United,Manchester City,Rafael Benitez,Pep Guardiola
198,20,,,Tottenham Hotspur,Southampton,Mauricio Pochettino,Mauricio Pellegrino
199,20,,,Watford,Leicester City,Marco Silva,Craig Shakespeare
200,20,,,West Bromwich Albion,Everton,Tony Pulis,Ronald Koeman
201,21,,,Bournemouth,Everton,Eddie Howe,Ronald Koeman
202,21,,,Chelsea,Stoke City,Antonio Conte,Mark Hughes
203,21,,,Crystal Palace,Manchester City,Roy Hodgson,Pep Guardiola
204,21,,,Huddersfield Town,Burnley,David Wagner,Sean Dyche
205,21,,,Liverpool,Leicester City,Jurgen Klopp,Craig Shakespeare
206,21,,,Manchester United,Southampton,Jose Mourinho,Mauricio Pellegrino
207,21,,,New Castle United,Brighton and Hove Albion,Rafael Benitez,Chris Hughton
208,21,,,Tottenham Hotspur,West Ham United,Mauricio Pochettino,Slaven Bilic
209,21,,,Watford,Swansea City,Marco Silva,Paul Clement
210,21,,,West Bromwich Albion,Arsenal,Tony Pulis,Arsene Wenger
211,22,,,Arsenal,Chelsea,Arsene Wenger,Antonio Conte
212,22,,,Brighton and Hove Albion,Bournemouth,Chris Hughton,Eddie Howe
213,22,,,Burnley,Liverpool,Sean Dyche,Jurgen Klopp
214,22,,,Everton,Manchester United,Ronald Koeman,Jose Mourinho
215,22,,,Leicester City,Huddersfield Town,Craig Shakespeare,David Wagner
216,22,,,Manchester City,Watford,Pep Guardiola,Marco Silva
217,22,,,Southampton,Crystal Palace,Mauricio Pellegrino,Roy Hodgson
218,22,,,Stoke City,New Castle United,Mark Hughes,Rafael Benitez
219,22,,,Swansea City,Tottenham Hotspur,Paul Clement,Mauricio Pochettino
220,22,,,West Ham United,West Bromwich Albion,Slaven Bilic,Tony Pulis
221,23,,,Bournemouth,Arsenal,Eddie Howe,Arsene Wenger
222,23,,,Chelsea,Leicester City,Antonio Conte,Craig Shakespeare
223,23,,,Crystal Palace,Burnley,Roy Hodgson,Sean Dyche
224,23,,,Huddersfield Town,West Ham United,David Wagner,Slaven Bilic
225,23,,,Liverpool,Manchester City,Jurgen Klopp,Pep Guardiola
226,23,,,Manchester United,Stoke City,Jose Mourinho,Mark Hughes
227,23,,,New Castle United,Swansea City,Rafael Benitez,Paul Clement
228,23,,,Tottenham Hotspur,Everton,Mauricio Pochettino,Ronald Koeman
229,23,,,Watford,Southampton,Marco Silva,Mauricio Pellegrino
230,23,,,West Bromwich Albion,Brighton and Hove Albion,Tony Pulis,Chris Hughton
231,24,,,Arsenal,Crystal Palace,Arsene Wenger,Roy Hodgson
232,24,,,Brighton and Hove Albion,Chelsea,Chris Hughton,Antonio Conte
233,24,,,Burnley,Manchester United,Sean Dyche,Jose Mourinho
234,24,,,Everton,West Bromwich Albion,Ronald Koeman,Tony Pulis
235,24,,,Leicester City,Watford,Craig Shakespeare,Marco Silva
236,24,,,Manchester City,New Castle United,Pep Guardiola,Rafael Benitez
237,24,,,Southampton,Tottenham Hotspur,Mauricio Pellegrino,Mauricio Pochettino
238,24,,,Stoke City,Huddersfield Town,Mark Hughes,David Wagner
239,24,,,Swansea City,Liverpool,Paul Clement,Jurgen Klopp
240,24,,,West Ham United,Bournemouth,Slaven Bilic,Eddie Howe
241,25,,,Huddersfield Town,Liverpool,David Wagner,Jurgen Klopp
242,25,,,Swansea City,Arsenal,Paul Clement,Arsene Wenger
243,25,,,West Ham United,Crystal Palace,Slaven Bilic,Roy Hodgson
244,25,,,Chelsea,Bournemouth,Antonio Conte,Eddie Howe
245,25,,,Everton,Leicester City,Ronald Koeman,Craig Shakespeare
246,25,,,Manchester City,West Bromwich Albion,Pep Guardiola,Tony Pulis
247,25,,,New Castle United,Burnley,Rafael Benitez,Sean Dyche
248,25,,,Southampton,Brighton and Hove Albion,Mauricio Pellegrino,Chris Hughton
249,25,,,Stoke City,Watford,Mark Hughes,Marco Silva
250,25,,,Tottenham Hotspur,Manchester United,Mauricio Pochettino,Jose Mourinho
251,26,,,Arsenal,Everton,Arsene Wenger,Ronald Koeman
252,26,,,Bournemouth,Stoke City,Eddie Howe,Mark Hughes
253,26,,,Brighton and Hove Albion,West Ham United,Chris Hughton,Slaven Bilic
254,26,,,Burnley,Manchester City,Sean Dyche,Pep Guardiola
255,26,,,Crystal Palace,New Castle United,Roy Hodgson,Rafael Benitez
256,26,,,Leicester City,Swansea City,Craig Shakespeare,Paul Clement
257,26,,,Liverpool,Tottenham Hotspur,Jurgen Klopp,Mauricio Pochettino
258,26,,,Manchester United,Huddersfield Town,Jose Mourinho,David Wagner
259,26,,,Watford,Chelsea,Marco Silva,Antonio Conte
260,26,,,West Bromwich Albion,Southampton,Tony Pulis,Mauricio Pellegrino
261,27,,,Chelsea,West Bromwich Albion,Antonio Conte,Tony Pulis
262,27,,,Everton,Crystal Palace,Ronald Koeman,Roy Hodgson
263,27,,,Huddersfield Town,Bournemouth,David Wagner,Eddie Howe
264,27,,,Manchester City,Leicester City,Pep Guardiola,Craig Shakespeare
265,27,,,New Castle United,Manchester United,Rafael Benitez,Jose Mourinho
266,27,,,Southampton,Liverpool,Mauricio Pellegrino,Jurgen Klopp
267,27,,,Stoke City,Brighton and Hove Albion,Mark Hughes,Chris Hughton
268,27,,,Swansea City,Burnley,Paul Clement,Sean Dyche
269,27,,,Tottenham Hotspur,Arsenal,Mauricio Pochettino,Arsene Wenger
270,27,,,West Ham United,Watford,Slaven Bilic,Marco Silva
271,28,,,Arsenal,Manchester City,Arsene Wenger,Pep Guardiola
272,28,,,Bournemouth,New Castle United,Eddie Howe,Rafael Benitez
273,28,,,Brighton and Hove Albion,Swansea City,Chris Hughton,Paul Clement
274,28,,,Burnley,Southampton,Sean Dyche,Mauricio Pellegrino
275,28,,,Crystal Palace,Tottenham Hotspur,Roy Hodgson,Mauricio Pochettino
276,28,,,Leicester City,Stoke City,Craig Shakespeare,Mark Hughes
277,28,,,Liverpool,West Ham United,Jurgen Klopp,Slaven Bilic
278,28,,,Manchester United,Chelsea,Jose Mourinho,Antonio Conte
279,28,,,Watford,Everton,Marco Silva,Ronald Koeman
280,28,,,West Bromwich Albion,Huddersfield Town,Tony Pulis,David Wagner
281,29,,,Brighton and Hove Albion,Arsenal,Chris Hughton,Arsene Wenger
282,29,,,Burnley,Everton,Sean Dyche,Ronald Koeman
283,29,,,Crystal Palace,Manchester United,Roy Hodgson,Jose Mourinho
284,29,,,Leicester City,Bournemouth,Craig Shakespeare,Eddie Howe
285,29,,,Liverpool,New Castle United,Jurgen Klopp,Rafael Benitez
286,29,,,Manchester City,Chelsea,Pep Guardiola,Antonio Conte
287,29,,,Southampton,Stoke City,Mauricio Pellegrino,Mark Hughes
288,29,,,Swansea City,West Ham United,Paul Clement,Slaven Bilic
289,29,,,Tottenham Hotspur,Huddersfield Town,Mauricio Pochettino,David Wagner
290,29,,,Watford,West Bromwich Albion,Marco Silva,Tony Pulis
291,30,,,Arsenal,Watford,Arsene Wenger,Marco Silva
292,30,,,Bournemouth,Tottenham Hotspur,Eddie Howe,Mauricio Pochettino
293,30,,,Chelsea,Crystal Palace,Antonio Conte,Roy Hodgson
294,30,,,Everton,Brighton and Hove Albion,Ronald Koeman,Chris Hughton
295,30,,,Huddersfield Town,Swansea City,David Wagner,Paul Clement
296,30,,,Manchester United,Liverpool,Jose Mourinho,Jurgen Klopp
297,30,,,New Castle United,Southampton,Rafael Benitez,Mauricio Pellegrino
298,30,,,Stoke City,Manchester City,Mark Hughes,Pep Guardiola
299,30,,,West Bromwich Albion,Leicester City,Tony Pulis,Craig Shakespeare
300,30,,,West Ham United,Burnley,Slaven Bilic,Sean Dyche
301,31,,,Bournemouth,West Bromwich Albion,Eddie Howe,Tony Pulis
302,31,,,Burnley,Chelsea,Sean Dyche,Antonio Conte
303,31,,,Huddersfield Town,Crystal Palace,David Wagner,Roy Hodgson
304,31,,,Leicester City,Arsenal,Craig Shakespeare,Arsene Wenger
305,31,,,Liverpool,Watford,Jurgen Klopp,Marco Silva
