19,302,2,0,1,4,0,0,0,0,0,0,0,75.2,31.2,101.0,20.8,91
20,455,1,1,3,5,0,0,0,1,0,0,0,42.8,42.2,116.0,19.7,92
5,118,0,0,0,0,0,0,0,1,0,0,0,7.4,7.9,33.0,4.3,93
30,630,0,0,3,6,0,0,0,0,0,17,0,123.6,0.0,0.0,12.5,94
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,95
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,96
41,630,0,4,3,6,0,0,0,1,0,0,0,200.8,96.5,39.0,33.7,97
7,224,0,0,1,4,0,0,0,0,1,0,0,39.2,2.2,0.0,4.1,98
15,540,0,0,1,7,0,0,0,0,0,0,0,158.4,8.0,24.0,19.0,99
32,598,2,0,2,6,0,0,0,3,0,0,0,199.6,103.5,125.0,42.8,100
21,446,1,1,2,5,0,0,0,2,1,0,0,103.0,18.6,41.0,16.2,101
21,431,0,0,3,2,0,0,0,1,0,0,0,64.0,61.2,78.0,20.4,102
22,540,0,1,2,6,0,0,0,2,0,0,0,135.0,16.6,9.0,16.1,103
5,121,0,0,0,1,0,0,0,0,0,0,0,21.0,43.7,42.0,10.7,104
18,449,1,0,2,5,0,0,0,0,1,0,0,107.8,240.5,47.0,39.6,105
20,479,0,1,4,4,0,0,0,0,0,0,0,84.6,160.0,116.0,36.0,106
23,630,0,1,6,2,0,0,0,0,0,0,0,123.2,65.5,31.0,22.0,107
8,347,0,0,0,10,0,0,0,0,0,0,0,58.8,71.7,67.0,19.8,108
19,278,1,1,2,2,0,0,0,0,0,0,0,63.0,64.2,81.0,21.0,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,110
24,630,1,0,3,6,0,0,0,1,0,0,0,173.6,152.0,50.0,37.6,111
12,429,0,0,3,7,0,0,0,1,0,0,0,77.4,26.0,93.0,19.6,112
2,98,0,0,0,4,1,0,0,0,0,0,0,4.6,11.1,27.0,4.3,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,114
19,630,0,0,0,17,0,0,0,0,0,28,0,197.2,0.0,0.0,19.7,115
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,116
4,142,0,0,0,2,0,0,0,0,0,0,0,17.4,0.9,9.0,2.7,117
7,540,0,0,0,13,0,0,0,1,0,0,0,131.8,34.4,124.0,29.0,118
4,540,0,0,0,12,1,0,0,2,0,0,0,100.4,80.3,32.0,21.3,119
0,49,0,0,0,2,0,0,0,0,0,0,0,6.8,0.3,33.0,4.0,120
0,90,0,0,0,4,0,0,0,0,0,0,0,40.0,0.3,0.0,4.0,121
