126,4618,2,4,13,87,0,0,1,18,1,0,188,2,39
130,2666,5,7,8,55,0,0,0,2,0,0,245,2,40
227,7725,4,5,14,159,0,0,0,6,1,0,608,6,41
275,5130,15,12,10,90,0,0,0,5,0,0,217,5,42
222,5403,10,3,9,94,0,0,0,15,1,0,396,8,43
56,1025,1,5,4,19,0,0,0,4,0,0,155,2,44
125,2927,1,4,12,53,0,0,0,0,0,0,293,5,45
17,432,0,2,1,7,0,0,0,1,0,0,0,1,46
100,1764,3,9,7,32,0,0,0,3,0,0,0,1,47
109,2132,11,1,7,40,0,0,0,0,0,0,165,2,48
134,2388,10,5,9,41,0,0,1,1,0,0,146,2,49
14,270,0,1,1,4,1,0,0,0,0,0,0,1,50
276,4628,22,6,12,93,0,0,1,2,0,0,321,3,51
1134,21097,112,30,36,312,0,0,5,26,2,0,1505,11,52
7,214,0,0,0,3,0,0,0,0,0,0,6,6,56
255,7206,1,7,8,119,0,0,0,9,0,0,361,4,60
13,335,0,0,1,4,0,0,0,0,0,0,39,2,62
549,13797,21,16,19,228,0,0,1,32,2,0,842,10,65
132,2072,11,7,4,34,0,0,2,6,1,0,520,3,71
0,0,0,0,0,0,0,0,0,0,0,0,0,1,73
299,6570,0,0,20,101,0,3,0,2,0,269,339,4,74
636,18384,1,7,11,340,0,1,0,1,0,576,255,7,75
252,8926,2,10,18,168,0,0,0,25,0,0,661,4,76
187,5903,3,3,18,93,2,0,0,15,0,0,333,2,77
294,11243,5,4,15,216,0,0,0,14,1,0,461,5,78
23,568,0,0,1,11,0,0,0,1,0,0,0,1,79
4,290,0,0,0,7,0,0,0,0,0,0,1,2,80
160,5305,3,4,15,87,0,0,1,9,0,0,316,2,82
203,7056,2,9,10,120,0,0,0,22,1,0,162,4,83
47,999,1,3,3,19,0,0,0,1,0,0,0,1,84
54,1068,1,3,5,13,0,0,0,1,0,0,0,1,85
76,2691,2,1,9,47,0,0,0,6,1,0,0,1,86
260,6356,7,10,14,104,0,0,0,8,0,0,855,4,87
334,10950,5,12,25,207,1,0,0,22,0,0,1254,5,88
757,16660,43,25,50,246,2,0,5,26,1,0,1863,7,89
347,11510,5,10,32,179,3,0,0,18,0,0,1196,6,90
153,2775,10,5,7,40,0,0,0,1,0,0,54,5,91
108,2260,9,3,8,33,0,0,0,2,0,0,0,1,92
169,4192,11,5,12,65,0,0,0,10,2,0,294,2,93
331,8071,0,0,33,89,0,1,0,3,2,211,614,3,94
0,0,0,0,0,0,0,0,0,0,0,0,0,1,95
79,1943,0,0,7,22,0,1,0,0,0,52,75,3,96
635,13624,3,20,60,147,1,0,0,17,1,0,1680,5,97
1104,27305,26,13,66,397,1,0,0,33,2,0,1989,11,98
136,2815,1,2,12,37,0,0,0,0,0,0,322,3,99
250,4824,7,7,22,53,0,0,0,9,1,0,258,4,100
431,9550,7,6,43,86,1,0,0,28,0,0,827,5,101
517,11243,17,24,41,162,0,0,0,13,0,0,1017,8,102
953,14067,58,49,67,141,0,0,2,11,0,0,2950,5,104
1256,19130,43,113,35,218,0,0,2,57,1,0,1372,9,105
435,8356,19,20,38,92,0,0,0,14,1,0,1363,4,106
334,9638,4,18,47,97,0,0,0,21,2,0,1184,6,107
35,579,1,1,1,12,0,0,0,0,0,0,79,3,108
275,4175,16,13,22,43,0,0,0,9,0,0,399,2,109
26,646,1,0,1,13,0,0,0,0,0,0,86,2,110
191,6160,2,5,28,62,0,0,0,12,0,0,501,2,111
15,236,0,1,0,6,0,0,0,3,0,0,-2,4,112
48,254,5,1,0,3,0,0,0,0,0,0,0,1,113
475,7525,52,21,32,93,0,0,1,26,0,0,1240,3,114
419,11916,0,1,24,226,0,2,0,3,0,462,601,7,115
264,6714,0,0,18,101,0,2,0,1,0,218,684,4,116
504,15162,7,5,35,249,0,0,0,26,2,0,954,9,117
548,15984,14,11,30,257,5,0,0,29,0,0,1364,7,118
400,12824,3,5,32,198,0,0,0,18,0,0,1119,5,119
237,7956,0,5,18,122,0,0,0,11,0,0,562,8,120
319,10611,3,7,25,168,2,0,0,25,1,0,1011,4,121
99,3890,0,1,8,57,1,0,0,7,1,0,431,3,122
197,5057,4,8,13,81,1,0,0,8,0,0,543,3,123
314,8080,11,10,18,155,0,0,0,9,0,0,626,6,124
582,13764,23,25,37,224,0,0,1,22,1,0,1704,7,125
346,8100,13,20,21,130,0,0,0,15,0,0,816,4,126
